Title,Acronym
National Conference of the American Association for Artificial Intelligence,AAAI
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS
Association of Computational Linguistics,ACL
ACM Multimedia,ACMMM
International Conference on Human Factors in Computing Systems,CHI
Conference on Learning Theory,COLT
IEEE Conference on Computer Vision and Pattern Recognition,CVPR
Data Compression Conference,DCC
ACM Conference on Economics and Computation,EC
Foundations of Genetic Algorithms,FOGA
International Conference on Automated Planning and Scheduling,ICAPS
IEEE International Conference on Computer Vision,ICCV
International Conference on Data Engineering,ICDE
IEEE International Conference on Data Mining,ICDM
International Conference on Machine Learning,ICML
IEEE Information Visualization Conference,IEEE InfoVis
International Joint Conference on Artificial Intelligence,IJCAI
International Joint Conference on Automated Reasoning,IJCAR
IEEE International Symposium on Wearable Computers,ISWC
ACM International Conference on Knowledge Discovery and Data Mining,KDD
International Conference on the Principles of Knowledge Representation and Reasoning,KR
Advances in Neural Information Processing Systems (was NIPS),NeurIPS
IEEE International Conference on Pervasive Computing and Communications,PERCOM
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS
ACM International Conference on Research and Development in Information Retrieval,SIGIR
ACM Special Interest Group on Management of Data Conference,SIGMOD
Conference in Uncertainty in Artificial Intelligence,UAI
International Conference on Very Large Databases,VLDB
ACM International Conference on Web Search and Data Mining,WSDM
ACM Conference on Computer Supported Cooperative Work,CSCW
ACM International Conference on Information and Knowledge Management,CIKM
ACM Special Interest Group on Computer Science Education Conference,SIGCSE
ACM Symposium on User Interface Software and Technology,UIST
Annual Conference of the Cognitive Science Society,CogSci
Computer Supported Collaborative Learning,CSCL
Conference on Innovative Data Systems Research,CIDR
Conference on Computational Natural Language Learning,CoNLL
Empirical Methods in Natural Language Processing,EMNLP
European Association of Computational Linguistics,EACL
European Conference on Artificial Intelligence,ECAI
European Conference on Computer Vision,ECCV
European Conference on Information Retrieval,ECIR
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech
Extending Database Technology,EDBT
Genetic and Evolutionary Computations,GECCO
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE
IEEE International Joint Conference on Neural Networks,IJCNN
IEEE International Symposium on Artificial Life,IEEE Alife
IEEE Visualization,IEEE VIS
IEEE Workshop on Applications of Computer Vision,WACV
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS
IFIP TC13 Conference on Human-Computer Interaction,Interact
Intelligent Data Analysis,IDA
International Conference on Advanced Information Systems Engineering,CaiSE
International Conference on Artificial Intelligence and Statistics,AISTATS
International Conference on Automated Deduction,CADE
International Conference on Computational Linguistics,COLING
International Conference on Conceptual Modelling,ER
"International Conference on Control, Automation, Robotics and Vision",ICARCV
International Conference on Cooperative Information Systems,CoopIS
International Conference on Database Theory,ICDT
International Conference on Formal Ontology in Information Systems,FOIS
International Conference on Intelligent User Interfaces,IUI
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR
International Conference on Neural Information Processing,ICONIP
International Conference on Principles and Practice of Constraint Programming,CP
International Conference on Scientific and Statistical Data Base Management,SSDBM
International Conference on the Simulation and Synthesis of Living Systems,ALIFE
International Conference on Theory and Applications of Satisfiability Testing,SAT
International Conference on Web Information Systems Engineering,WISE
International Semantic Web Conference,ISWC
International Symposium on Robotics Research,ISRR
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS
Knowledge capture,K-CAP
North American Association for Computational Linguistics,NAACL
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD
Parallel Problem Solving from Nature,PPSN
SIAM International Conference on Data Mining,SDM
Structural and Syntactical Pattern Recognition,SSPR
"Tangible, Embedded, and Embodied Interaction",TEI
Conference on File and Storage Technologies,FAST
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC
IEEE International Conference on Document Analysis and Recognition,ICDAR
